UNIQID	AVERAGE	Pv.1	Pv.2	Sst.1	Sst.2	Gad2.1	Gad2.2	Gad2.3	Purkinje.1	Purkinje.2	Purkinje.3	Camk2a.1	Camk2a.2	Camk2a.3	Neocortex.1	Neocortex.2	Neocortex.3	Cerebellum.1	Cerebellum.2	Cerebellum.3
mmu-miR-124	2420290.07	3627416.43	3216158.71	1526584.14	1553936.41	2669721.22	2842504.14	2442144.84	2856428.96	3018900.11	2900829.24	1842249.52	2240727.12	2054226.95	1671421.53	2184135.11	1455695.04	2803809.29	2675119.23	2403503.28
mmu-miR-29b	1051745.29	1617404.09	1601047.62	1775503.02	1824687.58	1149530.49	1227299.77	1071892.69	1274145.33	1201568.58	1330517.22	989156.4	763741.91	1010095.02	961472.33	666757.28	722999.65	224111.55	303440.69	267789.28
mmu-miR-9	771326.44	673939.56	637971.62	680208.33	649351.97	651434.72	766640.9	599402.18	1016032.91	978486.13	866113.09	534101.81	523861.28	506193.39	627218.74	583047.52	710504.45	1280042.67	1086953.02	1283698.16
mmu-miR-29a	481776.48	504656.19	561686.5	528844.12	602055.35	518792.54	582519.77	490501.71	198649.43	231374.56	204158.82	771085.38	687033.75	656335.66	665552.36	723589.43	524107.26	204173.9	259866.83	238769.5
mmu-miR-128	418813.81	17782.59	19974.4	21442.48	25446.75	70176.43	71908.66	131588.07	21690.32	24375.87	20113.12	1704597.34	1466824.36	1432413.42	808942.84	891514.05	654033	204352.78	183956.55	186329.29
mmu-miR-26a	325861.77	144161.28	184478.39	393198.15	336736.13	305632.21	264824.5	249093.93	204039.3	206514.22	175655.37	387566.16	259779.71	357765.93	397403.1	231955.04	394770.48	545715.93	549652.54	602431.34
mmu-let-7c	322157.40	104473.79	143228.68	181549.46	166966.34	414882.72	290520.81	377208.34	142739.29	132649.89	170567.9	224625.47	261720.5	239420.83	481189.86	356082.46	450582.59	651803.41	629210.43	701567.87
mmu-miR-22	291907.66	205174.47	213337.97	329637.07	261811.85	247803.95	200100.23	307829.68	250740.14	250769.55	282912.52	253265.41	282903.04	272902.54	493628.05	534782.52	665526.21	143555.96	185165.33	164399.04
mmu-miR-9*	208940.22	135414.78	128332.03	171313.06	162034.86	180481.74	206911.04	228476.78	144605.39	126379.75	131966.45	164283.21	146844.62	157162.28	336794.28	327882.33	357058.02	263848.62	301308.61	298766.31
mmu-let-7a	199129.34	92797.82	122556.62	103404.05	101587.63	200133.52	177497.79	261910.38	166499.28	163067.68	139288.39	132312.2	154273.25	136958.24	235622.91	222890.1	319748.4	365585.92	330228.26	357095
mmu-let-7f	189413.36	116880.73	122754.2	136318.49	121045	192897.27	162047.36	245916.66	177564.98	174566.94	141087.8	131222.86	151504.38	133511.6	218666.4	249045.44	331307.35	264409.67	252705.26	275401.48
mmu-miR-181a	184505.79	144531.88	159973.53	451480.72	484241.04	204231.33	173061.99	221538.05	129167.69	97603.57	133762.9	48998.8	47433.42	62901.99	106555.2	117746.59	176918.15	214142.72	272322.15	258998.27
mmu-let-7g	179036.08	168732.12	191442.81	132212.99	152110.87	181305.65	158902.25	222349.91	138847.15	141390.45	132445.9	112268.6	132814.68	116872.43	177992.18	204447.9	293018.89	252310.47	239104.94	253115.36
mmu-miR-29c	173301.75	203913.66	211961	220626.07	256237.49	161222.26	200325.46	165905.12	192101.14	222662.03	154074.31	214708.91	198151.82	180854.56	149113.99	190534.5	131277.77	71928.41	87515.2	79619.49
mmu-miR-376a	159022.97	131477.78	175486.54	208724.01	299013.58	215893.83	211060.92	229043.79	136026.2	166046.59	194007.56	183434.38	236353.07	161336.26	134553.92	145956.48	108710.86	23580.42	30359.25	30370.95
mmu-miR-138	126094.86	76426.88	85381.87	119873	136433.49	70779.97	48726.28	87716.31	432866.15	367163.53	535291.33	58032.63	79782.69	94289.61	47174.84	35361.8	57446.59	15750.09	22972.93	24332.35
mmu-miR-103	111877.16	109084.95	128289.19	135724.17	152053.91	169177.15	140572.41	181374.78	111621.55	105859.66	145503.45	73126.2	102224.52	101774.97	90087.28	77968.22	117233.3	53064.07	65079.84	65846.36
mmu-let-7b	111812.29	30718.44	40092.18	56867.15	45172.66	117424.37	86878.96	103936.26	49109.8	43766.86	61105.88	98289.59	119247.9	101382.45	212947.53	129715.23	142618.18	220541.96	216456.99	248161.03
